,state,date,count
154,KY,2020-09-01,1
155,KY,2020-10-01,3
156,KY,2020-11-01,2
157,KY,2021-01-01,2
158,KY,2021-02-01,2
159,LA,2020-01-01,1
160,LA,2020-02-01,3
161,LA,2020-03-01,2
162,LA,2020-04-01,3
163,LA,2020-05-01,2
164,LA,2020-06-01,1
165,LA,2020-07-01,3
166,LA,2020-08-01,2
167,LA,2020-09-01,2
168,LA,2020-10-01,1
169,LA,2020-11-01,2
170,LA,2020-12-01,1
171,LA,2021-01-01,2
172,MA,2020-02-01,2
173,MA,2020-04-01,1
174,MA,2020-11-01,2
175,MA,2020-12-01,1
176,MA,2021-01-01,1
177,MD,2020-01-01,3
178,MD,2020-02-01,1
179,MD,2020-03-01,2
180,MD,2020-04-01,2
181,MD,2020-05-01,2
182,MD,2020-08-01,1
183,MD,2020-10-01,2
184,MD,2020-11-01,3
185,MD,2021-01-01,1
186,MD,2021-02-01,2
187,ME,2020-02-01,1
188,ME,2020-04-01,2
189,ME,2020-12-01,1
190,ME,2021-02-01,1
191,MI,2020-02-01,1
192,MI,2020-05-01,1
193,MI,2020-07-01,4
194,MI,2020-08-01,2
195,MI,2020-09-01,2
196,MI,2020-10-01,3
197,MI,2020-11-01,1
198,MI,2020-12-01,3
199,MI,2021-01-01,1
200,MN,2020-02-01,1
201,MN,2020-03-01,2
202,MN,2020-04-01,1
203,MN,2020-05-01,1
204,MN,2020-07-01,1
205,MN,2020-09-01,1
206,MN,2020-10-01,1
207,MN,2020-12-01,2
208,MN,2021-01-01,1
209,MO,2020-01-01,4
210,MO,2020-02-01,4
211,MO,2020-03-01,5
212,MO,2020-04-01,4
213,MO,2020-05-01,2
214,MO,2020-06-01,4
215,MO,2020-07-01,3
216,MO,2020-08-01,2
217,MO,2020-09-01,1
218,MO,2020-10-01,2
219,MO,2020-11-01,1
220,MO,2020-12-01,1
221,MO,2021-01-01,1
222,MS,2020-02-01,1
223,MS,2020-04-01,2
224,MS,2020-05-01,3
225,MS,2020-06-01,1
226,MS,2020-07-01,1
227,MS,2020-10-01,1
228,MS,2020-11-01,2
229,MS,2020-12-01,1
230,MS,2021-01-01,1
231,MS,2021-02-01,3
232,MT,2020-01-01,1
233,MT,2020-03-01,2
234,MT,2020-04-01,1
235,MT,2020-05-01,1
236,MT,2020-06-01,2
237,MT,2020-10-01,1
238,MT,2020-11-01,2
239,MT,2020-12-01,1
240,NC,2020-01-01,4
241,NC,2020-02-01,4
242,NC,2020-03-01,5
243,NC,2020-04-01,2
244,NC,2020-05-01,4
245,NC,2020-06-01,1
246,NC,2020-07-01,3
247,NC,2020-08-01,5
248,NC,2020-09-01,3
249,NC,2020-10-01,1
250,NC,2020-11-01,1
251,NC,2020-12-01,2
252,NC,2021-01-01,1
253,NC,2021-02-01,3
254,ND,2020-01-01,1
255,ND,2020-02-01,1
256,ND,2020-08-01,1
257,NE,2020-02-01,1
258,NE,2020-04-01,1
