,county,state,min_confirmed_count,min_death_count,min_recovered_count,max_confirmed_count,max_death_count,max_recovered_count,median_confirmed_count,median_death_count,median_recovered_count,mean_confirmed_count,mean_death_count,mean_recovered_count,sum_confirmed_count,sum_death_count,sum_recovered_count,total_population,number_of_men,number_of_women,race_hispanic,race_white,race_black,race_native,race_asian,pacific,voting_age_citizens,census_income_average,census_income_margin,census_income_per_capita,census_income_per_capita_margin,census_poverty,census_child_poverty,professional_job_percentage,service_job_percentage,office_job_percentage,construction_job_percentage,production_job_percentage,commute_drive_percentage,commute_carpool_percentage,commute_transit_percentage,commute_walk_percentage,commute_other_percentage,commute_noneed_percentage,number_of_employed_people,employment_private_percentage,employment_public_percentage,employment_self_percentage,employment_family_percentage,unemployment_percentage,icu_beds,Total Population,Population Aged 60+,Percent of Population Aged 60+,Residents Aged 60+ Per Each ICU Bed,diversity_index,diversity_black_race,diversity_native_race,diversity_asian_race,diversity_pacific_race,diversity_two_or_more_races,diversity_hispanic_race,diversity_white_race,democrat,republican,other,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,mortality_rate,min_mortality_rate,max_mortality_rate,change_in_mortality_rate,min_change_in_mortality_rate,max_change_in_mortality_rate
2806,Richmo,VA,,,,,,,,,,,,,,,,220892.0,104853.0,116039.0,6.5,40.0,47.9,0.2,2.1,0.0,172050.0,42356.0,832.0,30113.0,641.0,25.2,40.5,41.0,21.1,22.3,6.4,9.1,70.7,10.4,5.2,5.7,3.8,4.2,109362.0,79.6,16.1,4.2,0.1,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,
2807,Richmond,GA,1.0,-1.0,0.0,62.0,3.0,0.0,6.0,0.0,0.0,9.607843137254902,0.3333333333333333,0.0,490.0,17.0,0.0,201568.0,97435.0,104133.0,4.8,35.5,55.2,0.2,1.8,0.2,150995.0,39430.0,1339.0,21464.0,673.0,24.2,37.5,29.9,22.5,26.0,9.0,12.6,80.9,9.7,1.7,3.5,2.2,2.1,78704.0,74.7,22.0,3.1,0.1,11.6,264.0,201568.0,38152.0,18.9,145.0,0.556878,55.2,0.4,1.8,0.2,2.5,4.5,36.8,48814.0,24461.0,2240.0,840008393.0,11042219.0,324.329,4.263,51.12190476190476,47.98238095238095,54.44857142857142,13.301428571428573,-7.6295238095238105,44.28
2808,Richmond,NC,0.0,0.0,0.0,15.0,1.0,8.0,2.0,0.0,0.0,3.2,0.05714285714285714,0.4,112.0,2.0,14.0,45447.0,22193.0,23254.0,6.2,57.6,31.1,1.9,1.0,0.0,33815.0,33607.0,2248.0,19966.0,1341.0,26.1,40.4,25.7,18.8,22.5,12.5,20.5,85.8,9.0,0.1,2.3,0.8,2.0,17354.0,76.2,17.0,6.6,0.2,10.0,0.0,45447.0,10922.0,24.0,0.0,0.562048,31.0,3.1,1.1,0.1,2.0,6.3,58.0,8501.0,10383.0,444.0,1227593689.0,15572168.0,473.977,6.0120000000000005,51.82714285714286,47.90857142857142,55.9204761904762,17.154285714285713,-6.163809523809523,50.32095238095239
2809,Richmond,NY,,,,,,,,,,,,,,,,475948.0,230325.0,245623.0,18.2,62.1,9.4,0.1,8.4,0.0,336177.0,76244.0,1481.0,33922.0,471.0,12.9,17.9,40.7,19.3,23.2,8.7,8.1,56.1,7.9,29.9,2.5,1.0,2.5,212253.0,74.6,21.0,4.3,0.1,5.5,114.0,475948.0,101941.0,21.4,894.0,0.547813,11.8,0.6,8.0,0.1,1.9,17.9,63.2,74143.0,101437.0,5380.0,150675181.0,114250150.0,58.176,44.111999999999995,34.69285714285714,33.01380952380952,36.388571428571424,-26.863809523809522,-40.59571428571428,-6.078571428571427
2810,Richmond,VA,-1.0,0.0,0.0,44.0,1.0,0.0,1.0,0.0,0.0,8.16,0.16,0.0,204.0,4.0,0.0,8873.0,4978.0,3895.0,6.6,60.9,25.7,0.3,2.0,0.0,7085.0,47341.0,4376.0,19728.0,1886.0,17.4,29.0,32.1,16.0,21.9,14.0,16.0,75.1,8.7,0.9,1.0,3.2,11.1,3240.0,70.1,21.0,8.7,0.2,6.4,0.0,8873.0,2400.0,27.0,0.0,0.528257,30.5,0.4,0.5,0.0,1.7,6.2,61.2,82606.0,17794.0,6745.0,495970612.0,64392325.0,191.495,24.862,42.04,37.402857142857144,47.03285714285714,-7.860952380952382,-31.82761904761904,32.34571428571427
2811,Richmond City,VA,1.0,0.0,0.0,76.0,3.0,0.0,10.0,0.0,0.0,13.232142857142858,0.32142857142857145,0.0,741.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,220892.0,39776.0,18.0,250.0,,,,,,,,,,,,,,,,46.7947619047619,43.86238095238095,49.87380952380953,-10.975714285714284,-27.44809523809524,12.135238095238092
2812,Richmond city,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.583002,50.1,0.6,2.4,0.2,2.2,6.4,40.1,,,,154942138.0,6879776.0,59.823,2.656,,,,,,
2813,Riley,KS,0.0,0.0,0.0,3.0,1.0,10.0,1.0,0.0,0.0,1.5,0.025,1.175,60.0,1.0,47.0,75696.0,40410.0,35286.0,8.1,76.9,6.3,0.4,4.9,0.2,58719.0,48428.0,2099.0,26619.0,1222.0,22.0,14.0,42.6,21.5,21.7,6.9,7.3,73.7,8.7,0.4,8.7,2.6,5.9,35629.0,65.2,30.3,4.4,0.1,5.6,8.0,75696.0,8478.0,11.2,1060.0,0.380696,6.9,0.7,4.4,0.3,3.2,7.9,77.8,9341.0,10107.0,2084.0,1579325910.0,31529484.0,609.781,12.174000000000001,32.88666666666666,30.043809523809518,36.04809523809523,7.529999999999999,-19.531428571428567,49.02142857142857
2814,Rincón Mu,PR,,,,,,,,,,,,,,,,14526.0,7092.0,7434.0,90.2,6.6,0.0,0.0,0.2,0.0,11664.0,18292.0,1698.0,10220.0,1096.0,48.6,59.7,24.1,27.4,22.8,11.8,13.8,70.1,18.1,0.0,7.0,0.0,4.9,4235.0,73.2,18.3,8.5,0.0,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2815,Rincón Municipio,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37005461.0,103924383.0,14.288,40.125,,,,,,
