"COVID-19-Associated Hospitalization Rates (per 100,000 population) for the COVID-NET Network (downloaded on "May-13-2020)
Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Utah,IHSP,2020,2020,19,65-74 yr,null,null
Utah,IHSP,2020,2020,20,65-74 yr,null,null
Utah,IHSP,2020,2020,21,65-74 yr,null,null
Utah,IHSP,2020,2020,22,65-74 yr,null,null
Utah,IHSP,2020,2020,23,65-74 yr,null,null
Utah,IHSP,2020,2020,24,65-74 yr,null,null
Utah,IHSP,2020,2020,25,65-74 yr,null,null
Utah,IHSP,2020,2020,26,65-74 yr,null,null
Utah,IHSP,2020,2020,27,65-74 yr,null,null
Utah,IHSP,2020,2020,28,65-74 yr,null,null
Utah,IHSP,2020,2020,29,65-74 yr,null,null
Utah,IHSP,2020,2020,30,65-74 yr,null,null
Utah,IHSP,2020,2020,31,65-74 yr,null,null
Utah,IHSP,2020,2020,32,65-74 yr,null,null
Utah,IHSP,2020,2020,33,65-74 yr,null,null
Utah,IHSP,2020,2020,34,65-74 yr,null,null
Utah,IHSP,2020,2020,35,65-74 yr,null,null
Utah,IHSP,2020,2020,36,65-74 yr,null,null
Utah,IHSP,2020,2020,37,65-74 yr,null,null
Utah,IHSP,2020,2020,38,65-74 yr,null,null
Utah,IHSP,2020,2020,39,65-74 yr,null,null
Utah,IHSP,2020,2020,10,75-84 yr,0,0
Utah,IHSP,2020,2020,11,75-84 yr,0,0
Utah,IHSP,2020,2020,12,75-84 yr,8.6,8.6
Utah,IHSP,2020,2020,13,75-84 yr,14.3,5.7
Utah,IHSP,2020,2020,14,75-84 yr,37.1,22.9
Utah,IHSP,2020,2020,15,75-84 yr,40,2.9
Utah,IHSP,2020,2020,16,75-84 yr,51.4,11.4
Utah,IHSP,2020,2020,17,75-84 yr,57.1,5.7
Utah,IHSP,2020,2020,18,75-84 yr,65.7,8.6
Utah,IHSP,2020,2020,19,75-84 yr,null,null
Utah,IHSP,2020,2020,20,75-84 yr,null,null
Utah,IHSP,2020,2020,21,75-84 yr,null,null
Utah,IHSP,2020,2020,22,75-84 yr,null,null
Utah,IHSP,2020,2020,23,75-84 yr,null,null
Utah,IHSP,2020,2020,24,75-84 yr,null,null
Utah,IHSP,2020,2020,25,75-84 yr,null,null
Utah,IHSP,2020,2020,26,75-84 yr,null,null
Utah,IHSP,2020,2020,27,75-84 yr,null,null
Utah,IHSP,2020,2020,28,75-84 yr,null,null
Utah,IHSP,2020,2020,29,75-84 yr,null,null
Utah,IHSP,2020,2020,30,75-84 yr,null,null
Utah,IHSP,2020,2020,31,75-84 yr,null,null
Utah,IHSP,2020,2020,32,75-84 yr,null,null
Utah,IHSP,2020,2020,33,75-84 yr,null,null
Utah,IHSP,2020,2020,34,75-84 yr,null,null
Utah,IHSP,2020,2020,35,75-84 yr,null,null
Utah,IHSP,2020,2020,36,75-84 yr,null,null
Utah,IHSP,2020,2020,37,75-84 yr,null,null
Utah,IHSP,2020,2020,38,75-84 yr,null,null
Utah,IHSP,2020,2020,39,75-84 yr,null,null
Utah,IHSP,2020,2020,10,85+,0,0
Utah,IHSP,2020,2020,11,85+,0,0
Utah,IHSP,2020,2020,12,85+,0,0
Utah,IHSP,2020,2020,13,85+,0,0
Utah,IHSP,2020,2020,14,85+,0,0
Utah,IHSP,2020,2020,15,85+,22,22
Utah,IHSP,2020,2020,16,85+,43.9,22
Utah,IHSP,2020,2020,17,85+,58.6,14.6
Utah,IHSP,2020,2020,18,85+,65.9,7.3
Utah,IHSP,2020,2020,19,85+,null,null
Utah,IHSP,2020,2020,20,85+,null,null
Utah,IHSP,2020,2020,21,85+,null,null
Utah,IHSP,2020,2020,22,85+,null,null
Utah,IHSP,2020,2020,23,85+,null,null
Utah,IHSP,2020,2020,24,85+,null,null
Utah,IHSP,2020,2020,25,85+,null,null
Utah,IHSP,2020,2020,26,85+,null,null
Utah,IHSP,2020,2020,27,85+,null,null
Utah,IHSP,2020,2020,28,85+,null,null
Utah,IHSP,2020,2020,29,85+,null,null
Utah,IHSP,2020,2020,30,85+,null,null
Utah,IHSP,2020,2020,31,85+,null,null
Utah,IHSP,2020,2020,32,85+,null,null
Utah,IHSP,2020,2020,33,85+,null,null
Utah,IHSP,2020,2020,34,85+,null,null
Utah,IHSP,2020,2020,35,85+,null,null
Utah,IHSP,2020,2020,36,85+,null,null
Utah,IHSP,2020,2020,37,85+,null,null
Utah,IHSP,2020,2020,38,85+,null,null
Utah,IHSP,2020,2020,39,85+,null,null
Utah,IHSP,2020,2020,10,18-29 yr,0,0
Utah,IHSP,2020,2020,11,18-29 yr,0,0
Utah,IHSP,2020,2020,12,18-29 yr,0.5,0.5
Utah,IHSP,2020,2020,13,18-29 yr,1,0.5
Utah,IHSP,2020,2020,14,18-29 yr,1.9,1
Utah,IHSP,2020,2020,15,18-29 yr,3.8,1.9
Utah,IHSP,2020,2020,16,18-29 yr,5.2,1.4
Utah,IHSP,2020,2020,17,18-29 yr,8.1,2.9
Utah,IHSP,2020,2020,18,18-29 yr,8.6,0.5
Utah,IHSP,2020,2020,19,18-29 yr,null,null
Utah,IHSP,2020,2020,20,18-29 yr,null,null
Utah,IHSP,2020,2020,21,18-29 yr,null,null
Utah,IHSP,2020,2020,22,18-29 yr,null,null
Utah,IHSP,2020,2020,23,18-29 yr,null,null
Utah,IHSP,2020,2020,24,18-29 yr,null,null
Utah,IHSP,2020,2020,25,18-29 yr,null,null
Utah,IHSP,2020,2020,26,18-29 yr,null,null
Utah,IHSP,2020,2020,27,18-29 yr,null,null
Utah,IHSP,2020,2020,28,18-29 yr,null,null
Utah,IHSP,2020,2020,29,18-29 yr,null,null
Utah,IHSP,2020,2020,30,18-29 yr,null,null
Utah,IHSP,2020,2020,31,18-29 yr,null,null
Utah,IHSP,2020,2020,32,18-29 yr,null,null
Utah,IHSP,2020,2020,33,18-29 yr,null,null
Utah,IHSP,2020,2020,34,18-29 yr,null,null
Utah,IHSP,2020,2020,35,18-29 yr,null,null
Utah,IHSP,2020,2020,36,18-29 yr,null,null
Utah,IHSP,2020,2020,37,18-29 yr,null,null
Utah,IHSP,2020,2020,38,18-29 yr,null,null
Utah,IHSP,2020,2020,39,18-29 yr,null,null
Utah,IHSP,2020,2020,10,30-39 yr,0,0
Utah,IHSP,2020,2020,11,30-39 yr,0.6,0.6
Utah,IHSP,2020,2020,12,30-39 yr,0.6,0
Utah,IHSP,2020,2020,13,30-39 yr,1.1,0.6
Utah,IHSP,2020,2020,14,30-39 yr,1.7,0.6
Utah,IHSP,2020,2020,15,30-39 yr,3.9,2.2
Utah,IHSP,2020,2020,16,30-39 yr,7.7,3.9
